Rosewater	#F5E0DC	245, 224, 220	10, 56%, 91%	0%, 9%, 10%, 4%
Flamingo	#F2CDCD	242, 205, 205	0, 59%, 88%	0%, 15%, 15%, 5%
Mauve	#DDB6F2	221, 182, 242	279, 70%, 83%	9%, 25%, 0%, 5%
Pink	#F5C2E7	245, 194, 231	316, 72%, 86%	0%, 21%, 6%, 4%
Maroon	#E8A2AF	232, 162, 175	349, 60%, 77%	0%, 30%, 25%, 9%
Red	#F28FAD	242, 143, 173	342, 79%, 75%	0%, 41%, 29%, 5%
Peach	#F8BD96	248, 189, 150	24, 88%, 78%	0%, 24%, 40%, 3%
Yellow	#FAE3B0	250, 227, 176	41, 88%, 84%	0%, 9%, 30%, 2%
Green	#ABE9B3	171, 233, 179	128, 58%, 79%	27%, 0%, 23%, 9%
Teal	#B5E8E0	181, 232, 224	171, 53%, 81%	22%, 0%, 3%, 9%
Blue	#96CDFB	150, 205, 251	207, 93%, 79%	40%, 18%, 0%, 2%
Sky	#89DCEB	137, 220, 235	189, 71%, 73%	42%, 6%, 0%, 8%
Lavender	#C9CBFF	201, 203, 255	238, 100%, 89%	21%, 20%, 0%, 0%
Black0	#161320	22, 19, 32	254, 25%, 10%	31%, 41%, 0%, 87%
Black1	#1A1826	26, 24, 38	249, 23%, 12%	32%, 37%, 0%, 85%
Black2	#1E1E2E	30, 30, 46	240, 21%, 15%	35%, 35%, 0%, 82%
Black3	#302D41	48, 45, 65	249, 18%, 22%	26%, 31%, 0%, 75%
Black4	#575268	87, 82, 104	254, 12%, 36%	16%, 21%, 0%, 59%
Gray0	#6E6C7E	110, 108, 126	247, 8%, 46%	13%, 14%, 0%, 51%
Gray1	#988BA2	152, 139, 162	274, 11%, 59%	6%, 14%, 0%, 36%
Gray2	#C3BAC6	195, 186, 198	285, 10%, 75%	2%, 6%, 0%, 22%
White	#D9E0EE	217, 224, 238	220, 38%, 89%	9%, 6%, 0%, 7%
